Natural_convection_vertical_09_02V_1_01A,Natural_convection_vertical_15V_1_64A,Natural_convection_vertical_20_4V_2_28A,Natural_convection_vertical_25V_2_62A,Natural_convection_vertical_28_7V_2_99A
7.815533783041052729e+00,6.444366618709273631e+00,6.901999322793201053e+00,7.229377236917548188e+00,7.862428165001930758e+00
6.361044565099126302e+00,5.519890555773700136e+00,5.885608659018135569e+00,6.193206006879842462e+00,6.740108525057861399e+00
5.367833263369298891e+00,4.827499622633860454e+00,5.156448984239919930e+00,5.416530133382258860e+00,5.873094631286584821e+00
4.647501756323725530e+00,4.265363534019786407e+00,4.570569701845751176e+00,4.841443285714652767e+00,5.257009352535968461e+00
4.267520353195678240e+00,3.863550626632252349e+00,4.241131724327908081e+00,4.487059072166133866e+00,4.853556787084923663e+00
4.003359723377231560e+00,3.642655891929914791e+00,4.007850292377963086e+00,4.277533600345533316e+00,4.625243473182823806e+00
3.783397474910362046e+00,3.502405355816899934e+00,3.839657593414757653e+00,4.126903998191168377e+00,4.461636863692423738e+00
3.718567951733307453e+00,3.419867372863733657e+00,3.766834151608850600e+00,4.057340726315956658e+00,4.379514010641781141e+00
3.600531508949568860e+00,3.371375442213467633e+00,3.715775768281677216e+00,3.989120132520865170e+00,4.307097044549422549e+00
3.435323030078079487e+00,3.295395486673593499e+00,3.633704707309017845e+00,3.931491906267245096e+00,4.252879900269168623e+00
3.449927446043206558e+00,3.242712846836957041e+00,3.615984150728179358e+00,3.908975019218706493e+00,4.230526405253602462e+00
3.457325997164864884e+00,3.255036171045821103e+00,3.606156266683222533e+00,3.901068442313851747e+00,4.228285841456014715e+00
3.413341108369728261e+00,3.233518063781779084e+00,3.561416574062278961e+00,3.861778947018672525e+00,4.171921842257864554e+00
3.377329311203304929e+00,3.203052539532639909e+00,3.557533031253989453e+00,3.844868939179745038e+00,4.176314952312695894e+00
3.341610219529548953e+00,3.227365227124022962e+00,3.547917632120743736e+00,3.838407850724815162e+00,4.168635675431029419e+00
3.285520359600817564e+00,3.163857171985626326e+00,3.505847678246126531e+00,3.813902249908287079e+00,4.134823626726801926e+00
3.370124152253118233e+00,3.172895797749788915e+00,3.517253515270024167e+00,3.811344369773050023e+00,4.134823626726801926e+00
3.341610219529548953e+00,3.175857822822630183e+00,3.515373810074640559e+00,3.812610891602207897e+00,4.130480269507448732e+00
3.327521669499846624e+00,3.128200979238971335e+00,3.483157351307184513e+00,3.785748942460240407e+00,4.104549150348637987e+00
3.285520359600817564e+00,3.163857171985626326e+00,3.496385754992708872e+00,3.783211948128471391e+00,4.120721539857321147e+00
3.285520359600817564e+00,3.137074696457755163e+00,3.456864103182601955e+00,3.765433334152028966e+00,4.078802363209273807e+00
3.292391191416169871e+00,3.145975216137380848e+00,3.469983586603750059e+00,3.770506959230466304e+00,4.088428316041511579e+00
3.230345143263364971e+00,3.107580600973871565e+00,3.449386433335460023e+00,3.757848971597474552e+00,4.068109899967568666e+00
3.250882207027630422e+00,3.101683808894213357e+00,3.432617001970843962e+00,3.733910620379353063e+00,4.052170659153623511e+00
3.250882207027630422e+00,3.098795373349112925e+00,3.427058562372075734e+00,3.715131230122333150e+00,4.020462436802580086e+00
3.230345143263364971e+00,3.119353938211586019e+00,3.403072571834987237e+00,3.706406020942660362e+00,4.019424928547938869e+00
3.250882207027630422e+00,3.081248389438176360e+00,3.406737463472784277e+00,3.692736750398136092e+00,4.009961549024497529e+00
3.182935899167027571e+00,3.092916212849695423e+00,3.408588977737610382e+00,3.698951799560171061e+00,4.005765812438176532e+00
3.169458367303921165e+00,3.032214967564640595e+00,3.373767543432529159e+00,3.672966918982683460e+00,4.002627193897433600e+00
3.103368129290285715e+00,3.017977997673643831e+00,3.352000879450751647e+00,3.652080017411559520e+00,3.968263164877690929e+00
3.156169388477973126e+00,3.035092496438790644e+00,3.375599784267561354e+00,3.664349419952522169e+00,3.975527343927131696e+00
3.189698160430646467e+00,3.043687751893455307e+00,3.357428413195463257e+00,3.659431651990210810e+00,3.972395438763429265e+00
3.209950967865622395e+00,3.040801697528515035e+00,3.362865351124024738e+00,3.652080017411559520e+00,3.970328704070624770e+00
3.149484691676660564e+00,3.020787369625650420e+00,3.346582724035227496e+00,3.652080017411559520e+00,3.969285949219578669e+00
3.123024259625844845e+00,3.052308501906119353e+00,3.364691244995154484e+00,3.665585813929266745e+00,3.979668034334935101e+00
3.103368129290285715e+00,3.052308501906119353e+00,3.342953002584562405e+00,3.645950397159507084e+00,3.949648669445895877e+00
3.103368129290285715e+00,3.000910386961604281e+00,3.339361666266503104e+00,3.628874203037181445e+00,3.934207279965798776e+00
3.216647294160245529e+00,3.023653574653125453e+00,3.341173921189935836e+00,3.627674260652893778e+00,3.945523110551933055e+00
3.149484691676660564e+00,3.023653574653125453e+00,3.341173921189935836e+00,3.632522807883907578e+00,3.950666129060166565e+00
3.156169388477973126e+00,3.043687751893455307e+00,3.362865351124024738e+00,3.656987086201711090e+00,3.964116025182010450e+00
3.162869546962416401e+00,3.032214967564640595e+00,3.357428413195463257e+00,3.638628043841161119e+00,3.952741081456375039e+00
3.123024259625844845e+00,3.006606332363498169e+00,3.330350185187883838e+00,3.617952061293931987e+00,3.935239820286817736e+00
3.156169388477973126e+00,2.998120250982922119e+00,3.335740301000768682e+00,3.626451682474216565e+00,3.938319738803577330e+00
3.149484691676660564e+00,3.023653574653125453e+00,3.339361666266503104e+00,3.631321564718720474e+00,3.934207279965798776e+00
3.123024259625844845e+00,3.003756955990735111e+00,3.332157226874759459e+00,3.632522807883907578e+00,3.938319738803577330e+00
3.129647941490127483e+00,3.003756955990735111e+00,3.317797960391224876e+00,3.615514402179158093e+00,3.944487583185988022e+00
3.142941095218568570e+00,3.020787369625650420e+00,3.328578252999678799e+00,3.634972823475148385e+00,3.940367995452320748e+00
3.136286868701840369e+00,3.017977997673643831e+00,3.328578252999678799e+00,3.631321564718720474e+00,3.939353473397257499e+00
3.083845601275691184e+00,2.995279230871470855e+00,3.333965313242047035e+00,3.615514402179158093e+00,3.934207279965798776e+00
3.096928312309398912e+00,2.961562586232119543e+00,3.298169659301893208e+00,3.586559226446822457e+00,3.911683084765561258e+00
3.123024259625844845e+00,2.967181183624297613e+00,3.291093244657348649e+00,3.586559226446822457e+00,3.910676717327866925e+00
3.038764425323931206e+00,2.958810307518631166e+00,3.287527443252059811e+00,3.591371569705354538e+00,3.906596114602459036e+00
3.162869546962416401e+00,3.003756955990735111e+00,3.321398588206886160e+00,3.616733010792066327e+00,3.934207279965798776e+00
3.169458367303921165e+00,3.015117401706553846e+00,3.352000879450751647e+00,3.647180071813289626e+00,3.975527343927131696e+00
3.103368129290285715e+00,2.983996419767715125e+00,3.330350185187883838e+00,3.627674260652893778e+00,3.941402325187089328e+00
3.103368129290285715e+00,3.006606332363498169e+00,3.324969345077446459e+00,3.631321564718720474e+00,3.951703454244147817e+00
3.156169388477973126e+00,3.032214967564640595e+00,3.350182352904688354e+00,3.644744359428059077e+00,3.955836178904278633e+00
3.176189320048083076e+00,3.037972880721296232e+00,3.342953002584562405e+00,3.647180071813289626e+00,3.956875009945354904e+00
3.142941095218568570e+00,3.063860985450232555e+00,3.355606737877160572e+00,3.661901294891279246e+00,3.980713824316940208e+00
3.196348127077714985e+00,3.026522617476277155e+00,3.362865351124024738e+00,3.644744359428059077e+00,3.958933965571644453e+00
3.162869546962416401e+00,3.020787369625650420e+00,3.348364880653035502e+00,3.652080017411559520e+00,3.964116025182010450e+00
3.116540317614178157e+00,3.029394502505359466e+00,3.371970910147842115e+00,3.661901294891279246e+00,3.975527343927131696e+00
3.142941095218568570e+00,3.029394502505359466e+00,3.335740301000768682e+00,3.645950397159507084e+00,3.943452356858175190e+00
3.129647941490127483e+00,3.000910386961604281e+00,3.346582724035227496e+00,3.644744359428059077e+00,3.949648669445895877e+00
3.136286868701840369e+00,3.032214967564640595e+00,3.352000879450751647e+00,3.649617544031726446e+00,3.951703454244147817e+00
3.196348127077714985e+00,3.060954865282080828e+00,3.373767543432529159e+00,3.674206467778408314e+00,3.982806322525003218e+00
3.169458367303921165e+00,3.037972880721296232e+00,3.355606737877160572e+00,3.666799319329539397e+00,3.975527343927131696e+00
3.182935899167027571e+00,3.066770005663155274e+00,3.364691244995154484e+00,3.661901294891279246e+00,3.971371763516583719e+00
3.176189320048083076e+00,3.063860985450232555e+00,3.375599784267561354e+00,3.690268017854516192e+00,3.986955457267503444e+00
3.162869546962416401e+00,3.023653574653125453e+00,3.382904775896733884e+00,3.685312470767214688e+00,3.986955457267503444e+00
3.203141622476510353e+00,3.058106391677965163e+00,3.390226756691220977e+00,3.691513915340974172e+00,4.013106597933512987e+00
3.216647294160245529e+00,3.052308501906119353e+00,3.375599784267561354e+00,3.690268017854516192e+00,3.997408874256048961e+00
3.129647941490127483e+00,3.040801697528515035e+00,3.364691244995154484e+00,3.676663519162279403e+00,3.986955457267503444e+00
3.176189320048083076e+00,3.049468471178213846e+00,3.381068277492760732e+00,3.681606421390241302e+00,3.993227803957164923e+00
3.182935899167027571e+00,3.058106391677965163e+00,3.388385984960682773e+00,3.691513915340974172e+00,3.996358193545242354e+00
3.176189320048083076e+00,3.066770005663155274e+00,3.381068277492760732e+00,3.707657858200879897e+00,4.013106597933512987e+00
3.156169388477973126e+00,3.043687751893455307e+00,3.393876746659515664e+00,3.710139276148433307e+00,4.017310936160731316e+00
3.129647941490127483e+00,3.058106391677965163e+00,3.371970910147842115e+00,3.693983555410603969e+00,4.004732545882468742e+00
3.136286868701840369e+00,3.075459433187496483e+00,3.393876746659515664e+00,3.710139276148433307e+00,4.016254406752050699e+00
3.209950967865622395e+00,3.107580600973871565e+00,3.414115034058692544e+00,3.730151202012848444e+00,4.037344035172712786e+00
3.196348127077714985e+00,3.078380043979419778e+00,3.419650767669505598e+00,3.740201449596211702e+00,4.035219475110473297e+00
3.169458367303921165e+00,3.092916212849695423e+00,3.428922015215210894e+00,3.747746673175359255e+00,4.051103836880304065e+00
3.216647294160245529e+00,3.101683808894213357e+00,3.421509863213296754e+00,3.747746673175359255e+00,4.054285108462455156e+00
3.216647294160245529e+00,3.116392212992282751e+00,3.438185209219389638e+00,3.760367225561494386e+00,4.059606926529862214e+00
3.209950967865622395e+00,3.116392212992282751e+00,3.432617001970843962e+00,3.761639049298294957e+00,4.060656090370811100e+00
3.216647294160245529e+00,3.128200979238971335e+00,3.475617719625697877e+00,3.787030234085808633e+00,4.090564119813926425e+00
3.216647294160245529e+00,3.101683808894213357e+00,3.453105348772921079e+00,3.774311098979715950e+00,4.073452172922490178e+00
3.223488208588056292e+00,3.125230333819814632e+00,3.477474172654760221e+00,3.792135978349076453e+00,4.098079963431365158e+00
3.250882207027630422e+00,3.142986603518646227e+00,3.490678988652125891e+00,3.801083286940642569e+00,4.113158620625469553e+00
3.237218155845303258e+00,3.145975216137380848e+00,3.466209304887843956e+00,3.802370319329525739e+00,4.101323315845847972e+00
3.292391191416169871e+00,3.166866981701359496e+00,3.511545516786545917e+00,3.834532097024539343e+00,4.132641006690231933e+00
3.271563701511664313e+00,3.181904979451128490e+00,3.515373810074640559e+00,3.839684368721512087e+00,4.134823626726801926e+00
3.320435542476426249e+00,3.178879859419177834e+00,3.534475112219877424e+00,3.864374531574523264e+00,4.156597864455735092e+00
3.348746942110227831e+00,3.215212968883310207e+00,3.544050335701552701e+00,3.866972065647712231e+00,4.168635675431029419e+00
3.278533786985589060e+00,3.178879859419177834e+00,3.532548955800042023e+00,3.868283943015201842e+00,4.167534016571850408e+00
3.250882207027630422e+00,3.200005814549140126e+00,3.559474217341103142e+00,3.878747237014553040e+00,4.192831123088344825e+00
3.341610219529548953e+00,3.200005814549140126e+00,3.559474217341103142e+00,3.899744099787621820e+00,4.207194543229769934e+00
3.362936277847619948e+00,3.251935968106764108e+00,3.612071764590620848e+00,3.952835921600675650e+00,4.254007534769424836e+00
3.398912041009673146e+00,3.258139583253970351e+00,3.602255717799939028e+00,3.948830296825907915e+00,4.243913690769207214e+00
3.413341108369728261e+00,3.276709843771457020e+00,3.625841897262820801e+00,3.975638594943016191e+00,4.279888879744593311e+00
3.442546895459229539e+00,3.311095556472163803e+00,3.653558426778177104e+00,4.016239585644776788e+00,4.335659602773301202e+00
3.464742616215124471e+00,3.339490505240755081e+00,3.721854982488047359e+00,4.062858961884574072e+00,4.367909310451319804e+00
3.479489538588595554e+00,3.403597383589298087e+00,3.770935952673444724e+00,4.125491841268948967e+00,4.437972941882915912e+00
3.546961778984579094e+00,3.429646136117050048e+00,3.789516173541803923e+00,4.163602297511919126e+00,4.478279395854737999e+00
3.577480078664860397e+00,3.459232874358298737e+00,3.827031368263799305e+00,4.183528429195442655e+00,4.506978339919847087e+00
3.501815457715557578e+00,3.429646136117050048e+00,3.799909981924912916e+00,4.152257896214254451e+00,4.474687584983851885e+00
3.531886844735152575e+00,3.387474511147428480e+00,3.754481407505342982e+00,4.117083793355720722e+00,4.429731275206699515e+00
3.501815457715557578e+00,3.387474511147428480e+00,3.719814498961358851e+00,4.071139373847724841e+00,4.382993665281166962e+00
3.472036924253532497e+00,3.286038172404910807e+00,3.663493003417430671e+00,4.013528527170063143e+00,4.315071522490424805e+00
3.362936277847619948e+00,3.282905825733798189e+00,3.625841897262820801e+00,3.972958706586657396e+00,4.281024812269654589e+00
3.341610219529548953e+00,3.242712846836957041e+00,3.615984150728179358e+00,3.958192377894400149e+00,4.254007534769424836e+00
3.341610219529548953e+00,3.236599239585404408e+00,3.600288651854268274e+00,3.938154208159674763e+00,4.231647200293091160e+00
3.334624706950358508e+00,3.258139583253970351e+00,3.614008737388631598e+00,3.954180610118648520e+00,4.249520322627892810e+00
3.348746942110227831e+00,3.245803513286497299e+00,3.600288651854268274e+00,3.939493251495455706e+00,4.243913690769207214e+00
3.341610219529548953e+00,3.248838969244851160e+00,3.592469333515878827e+00,3.943488169537497257e+00,4.234990470364743409e+00
3.355900760808391947e+00,3.233518063781779084e+00,3.586626460541198380e+00,3.928845662951817364e+00,4.241686155138862269e+00
3.313366264195932054e+00,3.248838969244851160e+00,3.610098732237859043e+00,3.954180610118648520e+00,4.255135514967822274e+00
3.341610219529548953e+00,3.239625369053594106e+00,3.608126899987940117e+00,3.951491750520766733e+00,4.255135514967822274e+00
3.278533786985589060e+00,3.261187564551819573e+00,3.598359861128884951e+00,3.956846144925842523e+00,4.251752611296033102e+00
3.285520359600817564e+00,3.242712846836957041e+00,3.602255717799939028e+00,3.954180610118648520e+00,4.258500226025569546e+00
3.341610219529548953e+00,3.267410360506545874e+00,3.615984150728179358e+00,3.970255374584086727e+00,4.267480731688595874e+00
3.384551818526705169e+00,3.279835744607546566e+00,3.625841897262820801e+00,3.978320535552414050e+00,4.274257251389507850e+00
3.299410604458755003e+00,3.267410360506545874e+00,3.623860477264082558e+00,3.981030102685548133e+00,4.283276277801594922e+00
3.327521669499846624e+00,3.258139583253970351e+00,3.641624155430230214e+00,3.989120132520865170e+00,4.281024812269654589e+00
3.320435542476426249e+00,3.273587188667244963e+00,3.635692140072674938e+00,3.998590710613383781e+00,4.294618792137878671e+00
3.377329311203304929e+00,3.286038172404910807e+00,3.653558426778177104e+00,4.018978584398308129e+00,4.318512981828066088e+00
3.292391191416169871e+00,3.286038172404910807e+00,3.657521074598629074e+00,4.027156571664733065e+00,4.320787397857579926e+00
3.391654974543098611e+00,3.342682065745072428e+00,3.707674826530430678e+00,4.080833166085677810e+00,4.373707142272973414e+00
3.362936277847619948e+00,3.323702632994943951e+00,3.685509365860477615e+00,4.058726013579814662e+00,4.351749482357734955e+00
3.406186648011078955e+00,3.358569223348068178e+00,3.709707781455784836e+00,4.080833166085677810e+00,4.394623379537523356e+00
3.442546895459229539e+00,3.364995948874940801e+00,3.742213457386920794e+00,4.121285334934535527e+00,4.419170947631147151e+00
3.398912041009673146e+00,3.349014891698529617e+00,3.707674826530430678e+00,4.104482381018340398e+00,4.399289855161431007e+00
3.406186648011078955e+00,3.384235682775674103e+00,3.738147162537944990e+00,4.112860662237992848e+00,4.401614209147167500e+00
3.420650658030159885e+00,3.349014891698529617e+00,3.748341730084630896e+00,4.135335287267812632e+00,4.434441771549911593e+00
3.501815457715557578e+00,3.410119660846752332e+00,3.789516173541803923e+00,4.160776272267249887e+00,4.453343133046656632e+00
3.449927446043206558e+00,3.406856786794106640e+00,3.793685534236422185e+00,4.187808899363142601e+00,4.491388023657297168e+00
3.464742616215124471e+00,3.426362447520572729e+00,3.810336426193424497e+00,4.205009266407154556e+00,4.502176207625031346e+00
3.554599165597790211e+00,3.449297436872793110e+00,3.831248068036074983e+00,4.223715843820954774e+00,4.520210044877231326e+00
3.524305585097155191e+00,3.465811589897069389e+00,3.827031368263799305e+00,4.222264997063366998e+00,4.527438571894663255e+00
3.442546895459229539e+00,3.469137602739576387e+00,3.835430252656923500e+00,4.243979139349269403e+00,4.543155543274325581e+00
3.479489538588595554e+00,3.442753808187947406e+00,3.833318589578611491e+00,4.252690489539125096e+00,4.546790040721331749e+00
3.486960423766449768e+00,3.472404342202635608e+00,3.862843359939044596e+00,4.271674429642115633e+00,4.574809367147895323e+00
3.509341220011434892e+00,3.502405355816899934e+00,3.873468688313270292e+00,4.281927250594787182e+00,4.590724014430631605e+00
3.531886844735152575e+00,3.479074168225435582e+00,3.873468688313270292e+00,4.301037487797993109e+00,4.604251358114540338e+00
3.501815457715557578e+00,3.509076494415320990e+00,3.914105638508142082e+00,4.311373749730098126e+00,4.621533352623193203e+00
3.494308172235612631e+00,3.542776935096459745e+00,3.931327152191189889e+00,4.339590370010293796e+00,4.652593034589973975e+00
3.585193418172932578e+00,3.542776935096459745e+00,3.950863669426952107e+00,4.371019730391710212e+00,4.678876175645646285e+00
3.524305585097155191e+00,3.576909934087860954e+00,3.963923374760260021e+00,4.387566592704806645e+00,4.690185399316071369e+00
3.616092939332754774e+00,3.607871550358253465e+00,3.979237434626375691e+00,4.404217245065261466e+00,4.726893910610926675e+00
3.531886844735152575e+00,3.576909934087860954e+00,3.985815859139562267e+00,4.407268474136071035e+00,4.726893910610926675e+00
3.608302483568482710e+00,3.628682963528932603e+00,4.025597888702755256e+00,4.457690455162398813e+00,4.772951842464279615e+00
3.546961778984579094e+00,3.587196638141648464e+00,4.018942236868957352e+00,4.462335208896086591e+00,4.779377330050795791e+00
3.631584683033323824e+00,3.656690733564513351e+00,4.050141758089190525e+00,4.497933398768319435e+00,4.811738988601093503e+00
3.655042011370757127e+00,3.692017829507773907e+00,4.081628070283342957e+00,4.522896522225091864e+00,4.839129045591955780e+00
3.662950186959941234e+00,3.688514559627269929e+00,4.097480077786798347e+00,4.537036488480251428e+00,4.854877841101560065e+00
3.686644554251621297e+00,3.738597226920389538e+00,4.127101917838891687e+00,4.574957030411131775e+00,4.890514403941506494e+00
3.734727954461765087e+00,3.756635963273970535e+00,4.175515116342856992e+00,4.610071071905172069e+00,4.925131825303066258e+00
3.710518830360765907e+00,3.760283429269981159e+00,4.166235054712564612e+00,4.653599374721864024e+00,4.956037952746331854e+00
3.783397474910362046e+00,3.807800130941025873e+00,4.203504678762243429e+00,4.663334119572470016e+00,5.003514595302856804e+00
3.824478317221805757e+00,3.818859963497049925e+00,4.236422967570661946e+00,4.704209007323487235e+00,5.015804093365388461e+00
3.775182395810906755e+00,3.818859963497049925e+00,4.257729963546057483e+00,4.728953368135588420e+00,5.050176888863405544e+00
3.866251147586932113e+00,3.897421041474465664e+00,4.305576654689007299e+00,4.772194432331749780e+00,5.104393919649510281e+00
3.832821122706294048e+00,3.878584682339827783e+00,4.317663335862011564e+00,4.788991198359555668e+00,5.098795909918838021e+00
3.866251147586932113e+00,3.920269634535288095e+00,4.334626690742675592e+00,4.826121607917657208e+00,5.155103022049428496e+00
3.857821356465054308e+00,3.939347240772962166e+00,4.363916711547458860e+00,4.858513926301728070e+00,5.180698802936110958e+00
3.942633836550005100e+00,3.977910007884524646e+00,4.386008538693284997e+00,4.885978456429824313e+00,5.222254202099573916e+00
3.857821356465054308e+00,3.989559564495427146e+00,4.443125724884099625e+00,4.904988463586504643e+00,5.242478209736116668e+00
3.959963224642259139e+00,4.020875867820472571e+00,4.465761220629274497e+00,4.966086474866187928e+00,5.293481885372529838e+00
4.038594332658039576e+00,4.068408350557888298e+00,4.519071944613664904e+00,5.006783555714904743e+00,5.346622869342716911e+00
3.977220074702037422e+00,4.056480634729988211e+00,4.529322990689563788e+00,5.037118906669081575e+00,5.363000077977810420e+00
4.101128198352432364e+00,4.140953732988943869e+00,4.588772317938397016e+00,5.103958295440200743e+00,5.436734987609069591e+00
4.101128198352432364e+00,4.161337133501706198e+00,4.607066069712333345e+00,5.129552182430487051e+00,5.455006848220302018e+00
4.146598212868760847e+00,4.223388550014749221e+00,4.665176531977388130e+00,5.196141988462817274e+00,5.519553488685950526e+00
4.146598212868760847e+00,4.231710838720862178e+00,4.673163073430810499e+00,5.209218112797750599e+00,5.538163274669662961e+00
4.174108808293691908e+00,4.252725085614147638e+00,4.724217653102065206e+00,5.265731477992263265e+00,5.586664119201579126e+00
4.174108808293691908e+00,4.329341111144658250e+00,4.775932230380599108e+00,5.315389093118369601e+00,5.648495386233860494e+00
4.128267107498208688e+00,4.290780364399474855e+00,4.797950688683154219e+00,5.344319005087252883e+00,5.680577336210437700e+00
4.315294544498724960e+00,4.398847368855515860e+00,4.828425837450951441e+00,5.394917946890357641e+00,5.748701157875893308e+00
4.305650001038006991e+00,4.447483324995055831e+00,4.921305599943659459e+00,5.476065943591920337e+00,5.824552499217298340e+00
4.412688342162975452e+00,4.478779069919030853e+00,4.984550423099506133e+00,5.510171888219691283e+00,5.883195234718760602e+00
4.412688342162975452e+00,4.519390331076663436e+00,5.028285056268297915e+00,5.587448689879435548e+00,5.944362697089183634e+00
4.442427831813561490e+00,4.611476309565176734e+00,5.096276751423460816e+00,5.666188179932263758e+00,6.034240369876290977e+00
4.502674631338797084e+00,4.696373159189455748e+00,5.159439024536704999e+00,5.757126074058087184e+00,6.106453708667109126e+00
4.523117002162747369e+00,4.696373159189455748e+00,5.189871859327840120e+00,5.800081985012608854e+00,6.174425121856025989e+00
4.690008865477508060e+00,4.812707150757121966e+00,5.279528146834890912e+00,5.874125908071123447e+00,6.265452797293608711e+00
4.743905895547595009e+00,4.837362914844234751e+00,5.368050105573058062e+00,5.996728568991109398e+00,6.390434021829687339e+00
4.831537171841864264e+00,4.948107580064347033e+00,5.448791295892096542e+00,6.088079670761068485e+00,6.470570700371077955e+00
4.842718792823477614e+00,5.046474435872144504e+00,5.571295766745142153e+00,6.179055079463974032e+00,6.571803494527363121e+00
4.921518818062581957e+00,5.109857431867980360e+00,5.639143315140456636e+00,6.296073386151765483e+00,6.683328230525855673e+00
4.955776782059365893e+00,5.201554316049731952e+00,5.722000463177768559e+00,6.354524006187753926e+00,6.785181385774999185e+00
5.168357307717923455e+00,5.301106489736939764e+00,5.849505808109772609e+00,6.514242069513065836e+00,6.974328518179937930e+00
5.168357307717923455e+00,5.391825204368275948e+00,5.969828162657546677e+00,6.653516561421287001e+00,7.052096845869257002e+00
5.355002733029813555e+00,5.537671417513102767e+00,6.086073758501850506e+00,6.829616368697806195e+00,7.254517958707172198e+00
5.497726692565744422e+00,5.695336457104757777e+00,6.221214560499786828e+00,7.006907902687857792e+00,7.437314703181549191e+00
5.756631630062192251e+00,5.872151620954697115e+00,6.458975449367875932e+00,7.232350966090113964e+00,7.663883083254239281e+00
5.813359593528640623e+00,6.016576531962044783e+00,6.636247721031750757e+00,7.440917256106490463e+00,7.885571842201898107e+00
6.003023679987704142e+00,6.335287903511243712e+00,6.915773878893586080e+00,7.707205512042484052e+00,8.214910283264385882e+00
6.296611874544032261e+00,6.533746850175433885e+00,7.169397375133163663e+00,8.040047150982557511e+00,8.504956079691947224e+00
6.715226583953490369e+00,6.869198043220640315e+00,7.514323054459082663e+00,8.425464484545940991e+00,8.925607031127277935e+00
7.253941888420600392e+00,7.327774374610060981e+00,7.929952594219066953e+00,8.905397583781065052e+00,9.427737869420813155e+00
